Round,Pick,Opponent,Venue,P_win_model,logP,cum_logP,cum_survival_proxy
18,Arsenal,Brighton,H,0.7738158204224593,-0.25642139181945095,-0.25642139181945095,0.7738158204224593
19,Man Utd,Wolves,H,0.7298131177034156,-0.3149667807601053,-0.5713881725795562,0.5647409364307415
20,Brighton,Burnley,H,0.8331521557462866,-0.18253899353606579,-0.7539271661156219,0.4705151286254489
21,Newcastle,Leeds,H,0.7815066520533878,-0.2465316172523049,-1.0004587833679268,0.3677107029125437
22,Aston Villa,Everton,H,0.727546446079637,-0.3180774385659573,-1.318536221933884,0.26752661508946646
23,Man City,Wolves,H,0.9087833784462799,-0.09564852074425811,-1.4141847426781422,0.24312374108530282
24,Sunderland,Burnley,H,0.8066186105433775,-0.21490432398065526,-1.6290890666587974,0.19610813422433485
25,Chelsea,Wolves,A,0.7386048127872661,-0.3029922604905821,-1.9320813271493795,0.14484641176482488
26,Nott'm Forest,Wolves,H,0.7544976778546371,-0.28170307850642223,-2.213784405655802,0.10928628132213694
27,Crystal Palace,Wolves,H,0.818082463824873,-0.20079213593868028,-2.414576541594482,0.089405190286272
28,Brentford,Burnley,A,0.6570148222180265,-0.4200487002983925,-2.8346252418928746,0.058740535201303824
29,Everton,Burnley,H,0.811682845412712,-0.2086455995855434,-3.043270841478418,0.04767868475325985
30,Bournemouth,Burnley,A,0.6637989917542693,-0.40977589859728186,-3.4530467400757,0.031649062867383546
31,Fulham,Burnley,H,0.7786914473738008,-0.25014039967024737,-3.703187139745947,0.02464485457222731
32,West Ham,Wolves,H,0.6885300458595917,-0.3731963221728811,-4.076383461918828,0.016968722848818632
33,Leeds,Wolves,H,0.6389007232159583,-0.4480061994039711,-4.524389661322799,0.01084132930016138
34,Wolves,Spurs,H,0.4248489289523989,-0.8560216345375323,-5.380411295860331,0.0046059271415938245
35,Burnley,Leeds,A,0.325661063601673,-1.1218981206633318,-6.502309416523663,0.001499971131803259
36,Spurs,Leeds,H,0.6831890155309849,-0.3809837146068988,-6.883293131130562,0.0010247638008615658
